run_name	run_number	grating_value[um]	SAW_freq[Hz]	SAW_freq_error[Hz]	A[Wm^-2]	A_err[Wm^-2]	alpha[m^2s^-1]	alpha_err[m2s-1]	beta[s^0.5]	beta_err[s^0.5]	B[Wm^-2]	B_err[Wm^-2]	theta	theta_err	tau[s]	tau_err[s]	C[Wm^-2]	C_err[Wm^-2]
Technology\MIT_postdoc\TGS\Data\Kyocera_W_W\Tungsten_Kyocera\2024-02-05\Tungsten_Kyocera-2024-02-05-03.40um-spot03-POS-22.txt	22	3.5217	7.50E+08	3735.0704	0.21180447	0.023466643	3.95E-05	4.13E-07	4.80E-07	3.67E-06	0.015220228	8.74E-05	2.2183474	0.003827701	2.36E-08	1.69E-10	0.001782508	8.92E-06
Technology\MIT_postdoc\TGS\Data\Kyocera_W_W\Tungsten_Kyocera\2024-02-05\Tungsten_Kyocera-2024-02-05-03.40um-spot03-POS-23.txt	23	3.5217	7.50E+08	3446.2522	0.21230211	0.022541636	3.90E-05	4.12E-07	1.83E-06	3.37E-06	0.015170954	8.78E-05	2.6987905	0.003872814	2.42E-08	1.76E-10	0.002101646	9.19E-06
Technology\MIT_postdoc\TGS\Data\Kyocera_W_W\Tungsten_Kyocera\2024-02-05\Tungsten_Kyocera-2024-02-05-03.40um-spot03-POS-24.txt	24	3.5217	7.50E+08	3954.4355	0.22115067	0.02411057	3.93E-05	4.14E-07	1.50E-06	3.50E-06	0.015565793	9.13E-05	2.2263094	0.003913185	2.36E-08	1.73E-10	0.001843924	9.31E-06
Technology\MIT_postdoc\TGS\Data\Kyocera_W_W\Tungsten_Kyocera\2024-02-05\Tungsten_Kyocera-2024-02-05-03.40um-spot03-POS-25.txt	25	3.5217	7.50E+08	3609.1286	0.20562075	0.034246387	3.91E-05	6.35E-07	1.59E-07	5.55E-06	0.008724776	0.000102245	-3.0581855	0.007909297	3.64E-08	5.62E-10	0.001862229	1.44E-05
Technology\MIT_postdoc\TGS\Data\Kyocera_W_W\Tungsten_Kyocera\2024-02-05\Tungsten_Kyocera-2024-02-05-03.40um-spot03-POS-26.txt	26	3.5217	7.50E+08	3469.8814	0.19521559	0.019977734	3.75E-05	3.82E-07	6.60E-08	3.47E-06	0.015111209	8.74E-05	2.6940282	0.003869481	2.38E-08	1.73E-10	0.002013013	9.09E-06
Technology\MIT_postdoc\TGS\Data\Kyocera_W_W\Tungsten_Kyocera\2024-02-05\Tungsten_Kyocera-2024-02-05-03.40um-spot03-POS-27.txt	27	3.5217	7.50E+08	3585.4168	0.20415058	0.03384864	3.88E-05	6.34E-07	3.09E-07	5.51E-06	0.008609039	0.000102844	-3.0985115	0.008059346	3.64E-08	5.75E-10	0.002128176	1.46E-05
Technology\MIT_postdoc\TGS\Data\Kyocera_W_W\Tungsten_Kyocera\2024-02-05\Tungsten_Kyocera-2024-02-05-03.40um-spot03-POS-28.txt	28	3.5217	7.51E+08	3185.7079	0.22725382	0.044184444	3.89E-05	7.79E-07	3.31E-06	5.90E-06	0.0084731	0.00013171	2.3163645	0.010438271	3.56E-08	7.26E-10	0.00188757	1.82E-05
Technology\MIT_postdoc\TGS\Data\Kyocera_W_W\Tungsten_Kyocera\2024-02-05\Tungsten_Kyocera-2024-02-05-03.40um-spot03-POS-29.txt	29	3.5217	7.50E+08	3410.4115	0.20168622	0.019821276	3.73E-05	3.75E-07	1.15E-06	3.24E-06	0.015183684	8.78E-05	2.6701052	0.003864445	2.40E-08	1.74E-10	0.001923589	9.18E-06
Technology\MIT_postdoc\TGS\Data\Kyocera_W_W\Tungsten_Kyocera\2024-02-05\Tungsten_Kyocera-2024-02-05-03.40um-spot03-POS-30.txt	30	3.5217	7.50E+08	3678.8542	0.19579264	0.000931403	3.76E-05	1.22E-07	4.26E-10	NaN	0.014976911	8.35E-05	-3.1490812	0.00375346	2.46E-08	1.74E-10	0.001876123	8.80E-06
Technology\MIT_postdoc\TGS\Data\Kyocera_W_W\Tungsten_Kyocera\2024-02-05\Tungsten_Kyocera-2024-02-05-03.40um-spot03-POS-31.txt	31	3.5217	7.50E+08	3693.8706	0.20313236	0.02031838	3.70E-05	3.73E-07	8.33E-07	3.34E-06	0.015792933	9.16E-05	2.2280863	0.003866172	2.31E-08	1.67E-10	0.001762026	9.27E-06
