Fluence[ionscm-2]	SAW_speed[m/s]	alpha[m^2s^-1]	alpha_err[m2s-1]		
3.76582E+17	2557.447385	4.50423E-05	1.70374E-06
3.81941E+17	2558.314529	4.42779E-05	8.40992E-07
3.87274E+17	2557.360016	4.57288E-05	8.92399E-07
3.92606E+17	2557.406035	4.52874E-05	8.64604E-07
3.97885E+17	2558.051751	4.38456E-05	5.81697E-07
4.03109E+17	2556.849562	4.50501E-05	8.69655E-07
4.08442E+17	2556.695376	4.5482E-05	7.62863E-07
4.13774E+17	2557.254077	4.50793E-05	7.96686E-07
4.19134E+17	2556.138267	4.55051E-05	8.68757E-07
4.24439E+17	2556.215519	4.59374E-05	9.37971E-07
4.29798E+17	2556.496338	4.48669E-05	9.39887E-07
4.35185E+17	2557.081638	4.42612E-05	6.13002E-07
4.56945E+17	2554.938908	4.61174E-05	9.37779E-07
4.62439E+17	2554.162953	4.58399E-05	9.25873E-07
4.67906E+17	2554.75317	4.38623E-05	5.48343E-07
4.734E+17	2553.375042	4.34736E-05	5.63029E-07
4.78867E+17	2553.647406	4.50161E-05	6.76708E-07
4.84334E+17	2547.991388	4.52653E-05	1.03485E-06
4.89748E+17	2547.510965	4.52755E-05	6.14398E-07
4.95188E+17	2546.384049	4.36069E-05	6.22279E-07
5.00628E+17	2545.905077	4.52188E-05	5.65967E-07
5.05826E+17	2546.071573	4.54151E-05	1.91584E-06
5.11104E+17	2543.98802	4.57113E-05	1.79228E-06
5.16437E+17	2543.556022	4.53347E-05	8.0328E-07
5.21796E+17	2543.420759	4.50334E-05	5.74704E-07
5.32488E+17	2543.352244	4.53634E-05	9.52184E-07
5.3782E+17	2541.880309	4.48497E-05	8.2564E-07
5.43153E+17	2541.360836	4.68869E-05	5.7141E-07
5.48485E+17	2541.568894	4.53406E-05	8.90381E-07
5.53898E+17	2541.039481	4.50706E-05	7.79367E-07
5.59338E+17	2540.477031	4.59077E-05	1.11684E-06
5.64752E+17	2540.196354	4.47825E-05	8.79116E-07
5.70165E+17	2539.805776	4.5385E-05	9.08469E-07
5.75659E+17	2539.248208	4.50886E-05	8.2526E-07
5.81045E+17	2538.546887	4.56832E-05	7.97399E-07
5.86458E+17	2537.128399	4.5409E-05	8.20647E-07
5.91899E+17	2536.726219	4.47455E-05	8.32687E-07
5.97312E+17	2537.249725	4.57745E-05	9.2153E-07
6.02779E+17	2537.23218	4.53171E-05	9.08365E-07
6.08273E+17	2536.227969	4.49973E-05	7.48759E-07
6.1374E+17	2536.11867	4.52459E-05	8.63828E-07
6.19288E+17	2535.563577	4.4949E-05	9.43808E-07
6.24809E+17	2535.785147	4.47943E-05	7.43725E-07
