run_number	dpa	alpha[m^2s^-1]	alpha_err[m2s-1]	SAW_speed[ms-1]	SAW_speed_err[ms-1]
108	3.3209894	3.50974E-05	3.29019E-07	2642.754607	0.013698353
109	3.355583039	3.55828E-05	3.29983E-07	2642.146163	0.013555479
110	3.390176678	3.64562E-05	5.83799E-07	2641.799381	0.0128239
111	3.424770318	3.52254E-05	1.10959E-07	2641.502079	0.01371153
112	3.459363957	3.62867E-05	5.72957E-07	2642.156587	0.014913135
113	3.493957597	3.64404E-05	5.79694E-07	2642.686286	0.013140817
114	3.528551237	3.5553E-05	3.21876E-07	2642.435189	0.014488473
115	3.563144877	3.5785E-05	5.04684E-07	2641.82597	0.01403086
117	3.632332155	3.49292E-05	3.23952E-07	2641.892389	0.013473055
118	3.666925795	3.63383E-05	5.03091E-07	2641.729651	0.01398382
119	3.701519435	3.59814E-05	5.71715E-07	2642.60247	0.013902815
120	3.736113074	3.58684E-05	4.88387E-07	2642.310168	0.012740665
121	3.770706714	3.53666E-05	3.19081E-07	2642.211526	0.013506532
122	3.805300354	3.51342E-05	1.08845E-07	2642.14486	0.013953338
123	3.839893993	3.62502E-05	6.0787E-07	2642.826943	0.013111888
124	3.874487632	3.50767E-05	1.06363E-07	2642.248539	0.013021225
125	3.909081272	3.55832E-05	5.46562E-07	2642.072207	0.01296549
126	3.943674912	3.63119E-05	5.54466E-07	2642.168631	0.014751748
127	3.978268552	3.52587E-05	3.41461E-07	2641.87788	0.014177149
128	4.012862191	3.63099E-05	5.00853E-07	2641.3529	0.012658463
129	4.04745583	3.51631E-05	3.34922E-07	2642.104184	0.014186445
130	4.08204947	3.53167E-05	3.25171E-07	2641.851221	0.013549135
131	4.116643109	3.56628E-05	5.37305E-07	2641.972966	0.013552954
132	4.151236749	3.66249E-05	6.53528E-07	2642.858145	0.014982407
133	4.185830389	3.46604E-05	1.07136E-07	2641.38611	0.014149726
134	4.220424029	3.50712E-05	3.22674E-07	2642.52471	0.013111991
135	4.255017667	3.59918E-05	4.67102E-07	2641.493662	0.013282448
136	4.289611307	3.50108E-05	4.62005E-07	2642.832225	0.012910358
137	4.324204947	3.6095E-05	5.12043E-07	2641.572548	0.012097234
138	4.358798587	3.59747E-05	5.54452E-07	2642.084533	0.012134993
139	4.393392226	3.60407E-05	5.32851E-07	2642.801164	0.013363417
140	4.427985866	3.5954E-05	5.00634E-07	2642.469983	0.013329843
141	4.462579505	3.59189E-05	5.35999E-07	2641.874499	0.012926038
142	4.497173145	3.60631E-05	5.68988E-07	2642.083688	0.013956899
143	4.531766784	3.5784E-05	5.94319E-07	2642.018994	0.01439262
144	4.566360424	3.61007E-05	5.56922E-07	2641.401605	0.012709339
145	4.600954064	3.7519E-05	4.61667E-07	2642.044386	0.012500597
146	4.635547703	3.5768E-05	5.40725E-07	2641.952364	0.013103484
147	4.670141343	3.51764E-05	1.10284E-07	2642.447409	0.014076799
148	4.704734982	3.62355E-05	5.82317E-07	2641.805861	0.01193275
149	4.739328622	3.49927E-05	3.28701E-07	2641.960675	0.013886965
150	4.773922261	3.45115E-05	1.13735E-07	2641.686194	0.015635784
151	4.808515901	3.60878E-05	5.33212E-07	2643.050712	0.01346275
152	4.843109541	3.46899E-05	3.19123E-07	2642.340349	0.013991408
153	4.877703181	3.56671E-05	5.07317E-07	2642.393985	0.013242277
154	4.912296819	3.46218E-05	1.07474E-07	2641.289545	0.012877781
155	4.946890459	3.62507E-05	5.53769E-07	2642.001456	0.013197132
156	4.981484099	3.50558E-05	3.26809E-07	2641.457072	0.012499435
157	5.016077739	3.56745E-05	5.78465E-07	2642.859342	0.01343245
158	5.050671378	3.55549E-05	5.4503E-07	2642.195079	0.014051145
159	5.085265018	3.61391E-05	5.72484E-07	2641.407064	0.013399816
160	5.119858657	3.57399E-05	5.62835E-07	2642.261393	0.01311711
161	5.154452297	3.55404E-05	5.80118E-07	2642.142465	0.014477104
162	5.189045936	3.56459E-05	5.14298E-07	2642.594933	0.013099345
163	5.223639576	3.60701E-05	5.56841E-07	2642.097352	0.013453232
164	5.258233216	3.57008E-05	6.05744E-07	2641.859814	0.01507842
165	5.292826855	3.5856E-05	5.51244E-07	2641.852524	0.012830206
166	5.327420495	3.48653E-05	3.17038E-07	2641.943243	0.013501826
167	5.362014134	3.55985E-05	5.15591E-07	2641.917182	0.013079858
168	5.396607774	3.58293E-05	5.8104E-07	2642.133555	0.011830777
169	5.431201413	3.46331E-05	1.0906E-07	2642.103409	0.013135379
170	5.465795053	3.60017E-05	5.91667E-07	2641.392554	0.013758832
171	5.500388693	3.50487E-05	3.16818E-07	2642.343977	0.013209238
172	5.534982333	3.61498E-05	5.79932E-07	2642.058015	0.012976568
173	5.569575971	3.63683E-05	4.11399E-07	2640.733186	0.012816944
174	5.604169611	3.50186E-05	3.37079E-07	2641.450486	0.013689634
175	5.638763251	3.48777E-05	3.6807E-07	2641.878655	0.012983037
176	5.673356891	3.55188E-05	5.23361E-07	2642.076715	0.013926362
177	5.70795053	3.44135E-05	1.09411E-07	2642.46051	0.013915605
178	5.74254417	3.58164E-05	5.95159E-07	2641.071974	0.012709811
179	5.777137809	3.46773E-05	3.13193E-07	2641.946236	0.014089677
180	5.811731448	3.61868E-05	5.44332E-07	2641.716938	0.013709329
181	5.846325088	3.56675E-05	5.92416E-07	2641.301624	0.014807435
182	5.880918728	3.57448E-05	5.27958E-07	2641.595123	0.013066793
183	5.915512368	3.56846E-05	6.15089E-07	2642.319254	0.015470081
184	5.950106007	3.59664E-05	5.07259E-07	2641.540853	0.012494451
185	5.984699646	3.49319E-05	3.15012E-07	2640.94875	0.012519284
186	6.019293286	3.43734E-05	1.08629E-07	2641.818539	0.013105125
187	6.053886926	3.61385E-05	5.81203E-07	2641.655097	0.013629173
188	6.088480565	3.58547E-05	5.38459E-07	2641.634636	0.013302754
189	6.123074205	3.62697E-05	5.38986E-07	2642.080237	0.014198689
190	6.157667845	3.50464E-05	1.11673E-07	2640.825525	0.014073426
191	6.192261485	3.63147E-05	5.58375E-07	2641.603258	0.013734741
192	6.226855123	3.5674E-05	5.28373E-07	2642.170956	0.013680138
193	6.261448763	3.51317E-05	3.44412E-07	2640.868385	0.013472131
194	6.296042403	3.6011E-05	5.44149E-07	2641.598116	0.014213586
195	6.330636043	3.5614E-05	5.62571E-07	2642.050056	0.014118941
196	6.365229682	3.51163E-05	3.87937E-07	2641.046653	0.013299419
197	6.399823322	3.54531E-05	3.35225E-07	2641.683376	0.01529346
198	6.434416961	3.61077E-05	5.61505E-07	2641.094478	0.013322598
199	6.4690106	3.55189E-05	6.14871E-07	2641.463552	0.014325361
200	6.50360424	3.59884E-05	5.40216E-07	2641.181182	0.014034904
201	6.53819788	3.58601E-05	6.51604E-07	2641.888128	0.01353623
202	6.57279152	3.56848E-05	5.6809E-07	2640.932585	0.013428126
203	6.607385159	3.51239E-05	1.10894E-07	2640.799042	0.013310683
204	6.641978798	3.58398E-05	5.58748E-07	2641.819279	0.015496887
205	6.676572438	3.57793E-05	5.64756E-07	2642.130632	0.013503611
206	6.711166078	3.63325E-05	5.22208E-07	2641.26285	0.014364438
207	6.745759717	3.60366E-05	5.99312E-07	2641.579838	0.013427587
208	6.780353357	3.50087E-05	3.20961E-07	2641.211785	0.012232154
209	6.814946997	3.4963E-05	3.36079E-07	2641.064156	0.013838999
210	6.849540637	3.63763E-05	6.17606E-07	2641.309231	0.01393771
211	6.884134275	3.60685E-05	6.19974E-07	2641.172061	0.013550326
212	6.918727915	3.61032E-05	5.78257E-07	2642.019628	0.013731857
213	6.953321555	3.61013E-05	5.91963E-07	2640.319633	0.013047156
214	6.987915194	3.48157E-05	3.2517E-07	2641.952012	0.014055297
215	7.022508834	3.50963E-05	3.28778E-07	2641.117228	0.014661557
216	7.057102474	3.56047E-05	5.06146E-07	2641.182309	0.014616222
217	7.091696113	3.61148E-05	5.72086E-07	2641.255736	0.013281588
218	7.126289752	3.56369E-05	4.95857E-07	2641.50863	0.014095424
219	7.160883392	3.60584E-05	6.01154E-07	2641.062747	0.013030233
220	7.195477032	3.58229E-05	5.0262E-07	2640.939805	0.012862379
221	7.230070672	3.63959E-05	6.69139E-07	2641.151212	0.013990289
222	7.264664311	3.61734E-05	6.55351E-07	2642.268612	0.012737438
