Study Name	Tungsten_temperature_sweep
Sample Name	2024-05-17
Run Name	450C_spot1
Operator	Angus
Date	5/17/2024
Time	21:47
Sign	FIX
Grating Spacing	06.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	9:47:54 PM
	
Time	Amplitude
1.420000E-8	3.336826E-2
1.425000E-8	3.330489E-2
1.430000E-8	3.357724E-2
1.435000E-8	3.411168E-2
1.440000E-8	3.472663E-2
1.445000E-8	3.542380E-2
1.450000E-8	3.619977E-2
1.455000E-8	3.695176E-2
1.460000E-8	3.759754E-2
1.465000E-8	3.813198E-2
1.470000E-8	3.849170E-2
1.475000E-8	3.859961E-2
1.480000E-8	3.839749E-2
1.485000E-8	3.788703E-2
1.490000E-8	3.712648E-2
1.495000E-8	3.616894E-2
1.500000E-8	3.499557E-2
1.505000E-8	3.364062E-2
1.510000E-8	3.218462E-2
1.515000E-8	3.067037E-2
1.520000E-8	2.910644E-2
1.525000E-8	2.760761E-2
1.530000E-8	2.622526E-2
1.535000E-8	2.493884E-2
1.540000E-8	2.381343E-2
1.545000E-8	2.297922E-2
1.550000E-8	2.242423E-2
1.555000E-8	2.208849E-2
1.560000E-8	2.206451E-2
1.565000E-8	2.238312E-2
1.570000E-8	2.293982E-2
1.575000E-8	2.365412E-2
1.580000E-8	2.452088E-2
1.585000E-8	2.547670E-2
1.590000E-8	2.641026E-2
1.595000E-8	2.728729E-2
1.600000E-8	2.810779E-2
1.605000E-8	2.877585E-2
1.610000E-8	2.920580E-2
1.615000E-8	2.939079E-2
1.620000E-8	2.932056E-2
1.625000E-8	2.892658E-2
1.630000E-8	2.823627E-2
1.635000E-8	2.735581E-2
1.640000E-8	2.631947E-2
1.645000E-8	2.508786E-2
1.650000E-8	2.370723E-2
1.655000E-8	2.227006E-2
1.660000E-8	2.081919E-2
1.665000E-8	1.938888E-2
1.670000E-8	1.805107E-2
1.675000E-8	1.689140E-2
1.680000E-8	1.595270E-2
1.685000E-8	1.525553E-2
1.690000E-8	1.481873E-2
1.695000E-8	1.464915E-2
1.700000E-8	1.477248E-2
1.705000E-8	1.516646E-2
1.710000E-8	1.580196E-2
1.715000E-8	1.664816E-2
1.720000E-8	1.765880E-2
1.725000E-8	1.876023E-2
1.730000E-8	1.988221E-2
1.735000E-8	2.096479E-2
1.740000E-8	2.192747E-2
1.745000E-8	2.269830E-2
1.750000E-8	2.323616E-2
1.755000E-8	2.352737E-2
1.760000E-8	2.353422E-2
1.765000E-8	2.321561E-2
1.770000E-8	2.258353E-2
1.775000E-8	2.168937E-2
1.780000E-8	2.056568E-2
1.785000E-8	1.922272E-2
1.790000E-8	1.774102E-2
1.795000E-8	1.625761E-2
1.800000E-8	1.483414E-2
1.805000E-8	1.346207E-2
1.810000E-8	1.220477E-2
1.815000E-8	1.116843E-2
1.820000E-8	1.039247E-2
1.825000E-8	9.870016E-3
1.830000E-8	9.637054E-3
1.835000E-8	9.712424E-3
1.840000E-8	1.006872E-2
1.845000E-8	1.068195E-2
1.850000E-8	1.152301E-2
1.855000E-8	1.252509E-2
1.860000E-8	1.360939E-2
1.865000E-8	1.471938E-2
1.870000E-8	1.580025E-2
1.875000E-8	1.680918E-2
1.880000E-8	1.767079E-2
1.885000E-8	1.830801E-2
1.890000E-8	1.868143E-2
1.895000E-8	1.879449E-2
1.900000E-8	1.858722E-2
1.905000E-8	1.802537E-2
1.910000E-8	1.717746E-2
1.915000E-8	1.612400E-2
1.920000E-8	1.489924E-2
1.925000E-8	1.354258E-2
1.930000E-8	1.213967E-2
1.935000E-8	1.074362E-2
1.940000E-8	9.421223E-3
1.945000E-8	8.256417E-3
1.950000E-8	7.283461E-3
1.955000E-8	6.524624E-3
1.960000E-8	6.033007E-3
1.965000E-8	5.830879E-3
1.970000E-8	5.894259E-3
1.975000E-8	6.229997E-3
1.980000E-8	6.829529E-3
1.985000E-8	7.643181E-3
1.990000E-8	8.628127E-3
1.995000E-8	9.734693E-3
2.000000E-8	1.087209E-2
2.005000E-8	1.196838E-2
2.010000E-8	1.299958E-2
2.015000E-8	1.391429E-2
2.020000E-8	1.464058E-2
2.025000E-8	1.511164E-2
2.030000E-8	1.531034E-2
2.035000E-8	1.525039E-2
2.040000E-8	1.491979E-2
2.045000E-8	1.429970E-2
2.050000E-8	1.341582E-2
2.055000E-8	1.235037E-2
2.060000E-8	1.114274E-2
2.065000E-8	9.808349E-3
2.070000E-8	8.436276E-3
2.075000E-8	7.149851E-3
2.080000E-8	5.978193E-3
2.085000E-8	4.931581E-3
2.090000E-8	4.104226E-3
2.095000E-8	3.550943E-3
2.100000E-8	3.252890E-3
2.105000E-8	3.230621E-3
2.110000E-8	3.511545E-3
2.115000E-8	4.063115E-3
2.120000E-8	4.821952E-3
2.125000E-8	5.764074E-3
2.130000E-8	6.832955E-3
2.135000E-8	7.958363E-3
2.140000E-8	9.097475E-3
2.145000E-8	1.019034E-2
2.150000E-8	1.116158E-2
2.155000E-8	1.196495E-2
2.160000E-8	1.257476E-2
2.165000E-8	1.293448E-2
2.170000E-8	1.302184E-2
2.175000E-8	1.285740E-2
2.180000E-8	1.243944E-2
2.185000E-8	1.177653E-2
2.190000E-8	1.091320E-2
2.195000E-8	9.885432E-3
2.200000E-8	8.718913E-3
2.205000E-8	7.497580E-3
2.210000E-8	6.310505E-3
2.215000E-8	5.198801E-3
2.220000E-8	4.208716E-3
2.225000E-8	3.413907E-3
2.230000E-8	2.857198E-3
2.235000E-8	2.540302E-3
2.240000E-8	2.487201E-3
2.245000E-8	2.720162E-3
2.250000E-8	3.208353E-3
2.255000E-8	3.910662E-3
2.260000E-8	4.780841E-3
2.265000E-8	5.781204E-3
2.270000E-8	6.865501E-3
2.275000E-8	7.953224E-3
2.280000E-8	8.951874E-3
2.285000E-8	9.820340E-3
2.290000E-8	1.054834E-2
2.295000E-8	1.111019E-2
2.300000E-8	1.148190E-2
2.305000E-8	1.163778E-2
2.310000E-8	1.152815E-2
2.315000E-8	1.114274E-2
2.320000E-8	1.049182E-2
2.325000E-8	9.602795E-3
2.330000E-8	8.503081E-3
2.335000E-8	7.259480E-3
2.340000E-8	5.938795E-3
2.345000E-8	4.597555E-3
2.350000E-8	3.323120E-3
2.355000E-8	2.182296E-3
2.360000E-8	1.214479E-3
2.365000E-8	4.590680E-4
2.370000E-8	-1.199326E-5
2.375000E-8	-1.558811E-4
2.380000E-8	2.569164E-5
2.385000E-8	4.933270E-4
2.390000E-8	1.212766E-3
2.395000E-8	2.148037E-3
2.400000E-8	3.240899E-3
2.405000E-8	4.388575E-3
2.410000E-8	5.513984E-3
2.415000E-8	6.579439E-3
2.420000E-8	7.545542E-3
2.425000E-8	8.350629E-3
2.430000E-8	8.975856E-3
2.435000E-8	9.392103E-3
2.440000E-8	9.546268E-3
2.445000E-8	9.431500E-3
2.450000E-8	9.088910E-3
2.455000E-8	8.537340E-3
2.460000E-8	7.780217E-3
2.465000E-8	6.874066E-3
2.470000E-8	5.897684E-3
2.475000E-8	4.876766E-3
2.480000E-8	3.840431E-3
2.485000E-8	2.846920E-3
2.490000E-8	1.963038E-3
2.495000E-8	1.202488E-3
2.500000E-8	5.858263E-4
2.505000E-8	1.952737E-4
2.510000E-8	8.393194E-5
2.515000E-8	2.124032E-4
2.520000E-8	5.361508E-4
2.525000E-8	1.070591E-3
2.530000E-8	1.802021E-3
2.535000E-8	2.665348E-3
2.540000E-8	3.605757E-3
2.545000E-8	4.563296E-3
2.550000E-8	5.481438E-3
2.555000E-8	6.307079E-3
2.560000E-8	6.987121E-3
2.565000E-8	7.490728E-3
2.570000E-8	7.814476E-3
2.575000E-8	7.961789E-3
2.580000E-8	7.910401E-3
2.585000E-8	7.691143E-3
2.590000E-8	7.336562E-3
2.595000E-8	6.844946E-3
2.600000E-8	6.228284E-3
2.605000E-8	5.524261E-3
2.610000E-8	4.761999E-3
2.615000E-8	3.955199E-3
2.620000E-8	3.141548E-3
2.625000E-8	2.353591E-3
2.630000E-8	1.617022E-3
2.635000E-8	9.695271E-4
2.640000E-8	4.470774E-4
2.645000E-8	7.879309E-5
2.650000E-8	-1.044926E-4
2.655000E-8	-8.565011E-5
2.660000E-8	1.250427E-4
2.665000E-8	5.190213E-4
2.670000E-8	1.089434E-3
2.675000E-8	1.795169E-3
2.680000E-8	2.581413E-3
2.685000E-8	3.417333E-3
2.690000E-8	4.278947E-3
2.695000E-8	5.120005E-3
2.700000E-8	5.849722E-3
2.705000E-8	6.425273E-3
2.710000E-8	6.844946E-3
2.715000E-8	7.093324E-3
2.720000E-8	7.115592E-3
2.725000E-8	6.913464E-3
2.730000E-8	6.529763E-3
2.735000E-8	5.979906E-3
2.740000E-8	5.275884E-3
2.745000E-8	4.462232E-3
2.750000E-8	3.578350E-3
2.755000E-8	2.653357E-3
2.760000E-8	1.742068E-3
2.765000E-8	8.924444E-4
2.770000E-8	1.353204E-4
2.775000E-8	-4.813416E-4
2.780000E-8	-9.249956E-4
2.785000E-8	-1.168235E-3
2.790000E-8	-1.175086E-3
2.795000E-8	-9.301345E-4
2.800000E-8	-4.744898E-4
2.805000E-8	1.798571E-4
2.810000E-8	9.986473E-4
2.815000E-8	1.909937E-3
2.820000E-8	2.853772E-3
2.825000E-8	3.809598E-3
2.830000E-8	4.760286E-3
2.835000E-8	5.654446E-3
2.840000E-8	6.413282E-3
2.845000E-8	6.964852E-3
2.850000E-8	7.257767E-3
2.855000E-8	7.316007E-3
2.860000E-8	7.142999E-3
2.865000E-8	6.733604E-3
2.870000E-8	6.104951E-3
2.875000E-8	5.296439E-3
2.880000E-8	4.340613E-3
2.885000E-8	3.264880E-3
2.890000E-8	2.137759E-3
2.895000E-8	1.053462E-3
2.900000E-8	8.050604E-5
2.905000E-8	-7.417100E-4
2.910000E-8	-1.377214E-3
2.915000E-8	-1.769480E-3
2.920000E-8	-1.889387E-3
2.925000E-8	-1.769480E-3
2.930000E-8	-1.450871E-3
2.935000E-8	-9.404122E-4
2.940000E-8	-2.415286E-4
2.945000E-8	5.635580E-4
2.950000E-8	1.411468E-3
2.955000E-8	2.293638E-3
2.960000E-8	3.163816E-3
2.965000E-8	3.948347E-3
2.970000E-8	4.628388E-3
2.975000E-8	5.222782E-3
2.980000E-8	5.697269E-3
2.985000E-8	5.995323E-3
2.990000E-8	6.106664E-3
2.995000E-8	6.034720E-3
3.000000E-8	5.779491E-3
3.005000E-8	5.347827E-3
3.010000E-8	4.782554E-3
3.015000E-8	4.107652E-3
3.020000E-8	3.340250E-3
3.025000E-8	2.499192E-3
3.030000E-8	1.637578E-3
3.035000E-8	8.085098E-4
3.040000E-8	4.967294E-5
3.045000E-8	-6.149517E-4
3.050000E-8	-1.125411E-3
3.055000E-8	-1.435455E-3
3.060000E-8	-1.560500E-3
3.065000E-8	-1.519389E-3
3.070000E-8	-1.293280E-3
3.075000E-8	-8.855978E-4
3.080000E-8	-3.460185E-4
3.085000E-8	2.877730E-4
3.090000E-8	9.969343E-4
3.095000E-8	1.724938E-3
3.100000E-8	2.416970E-3
3.105000E-8	3.066178E-3
3.110000E-8	3.662285E-3
3.115000E-8	4.147049E-3
3.120000E-8	4.489639E-3
3.125000E-8	4.690055E-3
3.130000E-8	4.748295E-3
3.135000E-8	4.648944E-3
3.140000E-8	4.385150E-3
3.145000E-8	3.975754E-3
3.150000E-8	3.453305E-3
3.155000E-8	2.840069E-3
3.160000E-8	2.144611E-3
3.165000E-8	1.390913E-3
3.170000E-8	6.406407E-4
3.175000E-8	-6.852061E-5
3.180000E-8	-7.228675E-4
3.185000E-8	-1.265873E-3
3.190000E-8	-1.644435E-3
3.195000E-8	-1.839711E-3
3.200000E-8	-1.839711E-3
3.205000E-8	-1.625592E-3
3.210000E-8	-1.209345E-3
3.215000E-8	-6.355071E-4
3.220000E-8	6.337654E-5
3.225000E-8	8.890185E-4
3.230000E-8	1.788317E-3
3.235000E-8	2.682477E-3
3.240000E-8	3.496128E-3
3.245000E-8	4.208716E-3
3.250000E-8	4.803109E-3
3.255000E-8	5.214217E-3
3.260000E-8	5.407781E-3
3.265000E-8	5.412920E-3
3.270000E-8	5.239912E-3
3.275000E-8	4.869914E-3
3.280000E-8	4.330335E-3
3.285000E-8	3.679414E-3
3.290000E-8	2.954836E-3
