run_name date_time grating_value[um] SAW_freq[Hz] SAW_freq_error[Hz] A[Wm^-2] A_err[Wm^-2] alpha[m^2s^-1] alpha_err[m2s-1] beta[s^0.5] beta_err[s^0.5] B[Wm^-2] B_err[Wm^-2] theta theta_err tau[s] tau_err[s] C[Wm^-2] C_err[Wm^-2]
Tungsten_temperature_sweep-2024-05-17-06.40um-300C_spot4 2024_05_17_20:45:05 3.5253 7.3297171e+08 9010.1391 0.17745394 0.013733316 5.903122e-05 NaN 4.1763162e-06 2.1668457e-06 0.0061007223 0.00010037873 0.27414893 0.016267495 1.6073749e-08 NaN 0.0021122835 1.1426732e-05
Tungsten_temperature_sweep-2024-05-17-06.40um-300C_spot5 2024_05_17_20:46:19 3.5253 7.3163598e+08 11718.123 0.01423868 0.00027080289 4.0479443e-06 NaN 2.3370882e-14 NaN 0.0052258184 0.00045032968 0.35465203 0.060477908 2.2425595e-08 2.562413e-09 0.0015581692 6.5856262e-05
Tungsten_temperature_sweep-2024-05-17-06.40um-350C_spot1 2024_05_17_21:01:04 3.5253 7.3032737e+08 10481.918 0.17622317 0.0013968054 5.2969988e-05 2.663441e-07 1.1411972e-08 NaN 0.0061227258 8.8332282e-05 0.65682146 0.01013484 2.207588e-08 4.2133539e-10 0.0014904406 9.137072e-06
Tungsten_temperature_sweep-2024-05-17-06.40um-350C_spot2 2024_05_17_20:59:50 3.5253 7.3261835e+08 9040.0952 0.1773515 0.032559322 5.4252997e-05 8.9350964e-07 1.7025174e-08 5.2998543e-06 0.0073145765 9.5403594e-05 0.72729841 0.0090567602 2.0553094e-08 3.5138254e-10 0.0023725212 9.4613135e-06
Tungsten_temperature_sweep-2024-05-17-06.40um-350C_spot3 2024_05_17_20:58:43 3.5253 7.3105281e+08 9767.2891 0.20685295 0.038875537 5.6370701e-05 9.3268586e-07 1.5081142e-06 5.0983351e-06 0.0079950921 7.3599823e-05 0.5110146 0.0092097138 1.8526918e-08 NaN 0.0020863053 9.6384674e-06
Tungsten_temperature_sweep-2024-05-17-06.40um-350C_spot4 2024_05_17_20:57:38 3.5253 7.3180558e+08 11112.044 0.19573587 0.0014946609 5.4851816e-05 2.605626e-07 3.0095177e-10 NaN 0.0070088722 6.7332982e-05 0.31565687 0.0096244429 1.9550957e-08 NaN 0.001870889 9.0897267e-06
Tungsten_temperature_sweep-2024-05-17-06.40um-350C_spot5 2024_05_17_20:54:12 3.5253 7.2883177e+08 11773.489 0.15146498 0.00038054301 5.1545099e-05 NaN 4.4136381e-09 NaN 0.0077858025 7.8966729e-05 0.69221551 0.010253036 1.6316063e-08 NaN 0.0025313817 9.0571033e-06
Tungsten_temperature_sweep-2024-05-17-06.40um-400C_spot1 2024_05_17_21:11:40 3.5253 7.2883442e+08 8403.7176 0.18534254 0.0014272094 5.2329781e-05 2.5455631e-07 2.2629903e-09 NaN 0.00940647 7.3065871e-05 0.11651079 0.0078145548 1.8052072e-08 NaN 0.00090764782 9.2832081e-06
Tungsten_temperature_sweep-2024-05-17-06.40um-400C_spot2 2024_05_17_21:12:46 3.5253 7.2925984e+08 7307.0829 0.19596449 0.030228029 5.1137875e-05 7.2620101e-07 3.7868267e-07 4.5156384e-06 0.0094688462 7.0256802e-05 0.17774053 0.007439684 1.916032e-08 NaN 0.0011471158 9.4716893e-06
Tungsten_temperature_sweep-2024-05-17-06.40um-400C_spot3 2024_05_17_21:13:52 3.5253 7.3044783e+08 8234.1728 0.19570647 0.0014407092 5.3473158e-05 2.4846302e-07 1.1030953e-09 NaN 0.0093008453 7.0704752e-05 0.5494709 0.0076494241 1.8652402e-08 NaN 0.0012118716 9.2491251e-06
Tungsten_temperature_sweep-2024-05-17-06.40um-400C_spot4 2024_05_17_21:15:04 3.5253 7.2956913e+08 7520.9609 0.19981633 0.0014364682 5.1677319e-05 2.3374979e-07 1.8570303e-10 NaN 0.010354537 7.2137466e-05 0.080774453 0.0070492508 1.8425431e-08 NaN 0.0017792255 9.2982405e-06
Tungsten_temperature_sweep-2024-05-17-06.40um-400C_spot5 2024_05_17_21:16:06 3.5253 7.2877516e+08 8685.2778 0.18625654 0.0013667603 4.946935e-05 2.3160451e-07 1.2829413e-08 NaN 0.0090532971 7.1024689e-05 -0.52649363 0.0079249786 1.9155055e-08 NaN 0.0022959363 9.4009661e-06
Tungsten_temperature_sweep-2024-05-17-06.40um-450C_spot1 2024_05_17_21:47:54 3.5253 7.2815039e+08 7518.2517 0.19673762 0.0014724609 5.2690629e-05 2.5090019e-07 5.0008234e-12 NaN 0.0086909317 9.8040054e-05 0.53789494 0.0078979496 2.09251e-08 3.1034047e-10 0.0022515615 9.7393683e-06
Tungsten_temperature_sweep-2024-05-17-06.40um-450C_spot2 2024_05_17_21:46:46 3.5253 7.2873899e+08 8237.8891 0.14470812 0.00043258629 4.906483e-05 NaN 1.0558766e-08 NaN 0.0073664058 0.00010971368 -0.20270612 0.010428992 2.0999605e-08 4.072539e-10 0.0021958405 1.043285e-05
Tungsten_temperature_sweep-2024-05-17-06.40um-450C_spot3 2024_05_17_21:45:17 3.5253 7.229241e+08 8378.749 0.21195123 0.038848253 5.1779229e-05 8.249947e-07 1.7229203e-08 5.4493746e-06 0.0091150871 0.00011061695 -0.10806101 0.0084788253 2.0253121e-08 3.1770471e-10 0.0020408834 1.0686401e-05
Tungsten_temperature_sweep-2024-05-17-06.40um-450C_spot4 2024_05_17_21:43:36 3.5253 7.2831953e+08 9749.5156 0.16301891 0.0091139437 4.8618298e-05 NaN 1.9120985e-08 1.9501077e-06 0.0070656131 0.00010836307 0.025776564 0.010722715 2.1143715e-08 4.2172012e-10 0.0022519682 1.0525236e-05
Tungsten_temperature_sweep-2024-05-17-06.40um-450C_spot5 2024_05_17_21:42:33 3.5253 7.2969039e+08 6822.9324 0.18125531 0.03256463 5.0064375e-05 8.2277681e-07 5.287178e-08 5.3738503e-06 0.0084569522 9.8965429e-05 0.20297671 0.0081945046 2.2232414e-08 3.4114978e-10 0.0018827293 1.0345273e-05
Tungsten_temperature_sweep-2024-05-17-06.40um-500C_spot1 2024_05_17_22:01:48 3.5253 7.2432774e+08 6824.6999 0.18007577 0.0013444789 5.0002418e-05 2.4461964e-07 6.3756979e-13 NaN 0.0097148019 0.00010146338 0.67335884 0.0073200147 2.0338453e-08 2.7862819e-10 0.0021038786 9.91197e-06
Tungsten_temperature_sweep-2024-05-17-06.40um-500C_spot2 2024_05_17_22:02:57 3.5253 7.247874e+08 6095.0255 0.097784564 0.0003103073 3.9187527e-05 NaN 1.3324371e-11 NaN 0.0077379392 0.00011103856 1.3972044 0.010152727 2.1239587e-08 4.046734e-10 0.002358742 1.1040484e-05
Tungsten_temperature_sweep-2024-05-17-06.40um-500C_spot3 2024_05_17_22:04:15 3.5253 7.2384826e+08 5602.4823 0.1592678 0.024296406 4.6287941e-05 7.344905e-07 1.2512606e-07 4.6152288e-06 0.0062478952 8.703648e-05 1.1783414 0.0097155164 2.8417877e-08 5.334793e-10 0.0015221474 1.0985515e-05
Tungsten_temperature_sweep-2024-05-17-06.40um-500C_spot4 2024_05_17_22:05:35 3.5253 7.2671858e+08 6333.7519 0.14691297 0.0012679721 4.9488105e-05 2.8163125e-07 6.4714055e-11 NaN 0.0091020694 7.0298329e-05 0.89897497 0.0077998397 1.946475e-08 NaN 0.0018619701 9.5626558e-06
Tungsten_temperature_sweep-2024-05-17-06.40um-500C_spot5 2024_05_17_22:06:41 3.5253 7.2598414e+08 5695.6208 0.17075367 0.026111239 4.8379464e-05 7.252264e-07 1.1244096e-07 4.5817336e-06 0.010463285 9.9839154e-05 0.77718207 0.0066688135 2.0594975e-08 2.5737401e-10 0.0016343945 9.9894552e-06
Tungsten_temperature_sweep-2024-05-17-06.40um-550C_spot1 2024_05_17_22:29:39 3.5253 7.2620987e+08 5114.861 0.094895214 0.013027938 4.0575422e-05 7.732912e-07 4.8221361e-06 3.6147637e-06 0.0048794419 7.6912382e-05 2.3610988 0.010986996 2.786144e-08 5.9731744e-10 0.0013278775 9.8565708e-06
Tungsten_temperature_sweep-2024-05-17-06.40um-550C_spot2 2024_05_17_22:26:29 3.5253 7.2018781e+08 10699.637 0.060791317 0.010703124 3.9453326e-05 1.0027277e-06 5.6292639e-06 4.5428585e-06 0.0038987791 8.2694914e-05 2.5918112 0.014806282 2.056657e-08 5.8177436e-10 0.00040953955 8.660355e-06
Tungsten_temperature_sweep-2024-05-17-06.40um-550C_spot3 2024_05_17_22:20:25 3.5253 7.2368336e+08 4961.3851 0.11485382 0.00087929438 4.3741547e-05 2.4123026e-07 1.0428141e-11 NaN 0.0090045862 8.8750545e-05 1.4298418 0.0069166838 2.0615355e-08 2.6901413e-10 0.0017623524 8.9505348e-06
Tungsten_temperature_sweep-2024-05-17-06.40um-550C_spot4 2024_05_17_22:19:06 3.5253 7.2327328e+08 5150.3608 0.13752502 0.0065661039 4.3791763e-05 NaN 1.3930043e-06 1.6487456e-06 0.0065037687 8.9937202e-05 0.63039097 0.0096325653 2.8118136e-08 5.2236577e-10 0.002365727 1.0861507e-05
Tungsten_temperature_sweep-2024-05-17-06.40um-550C_spot5 2024_05_17_22:15:17 3.5253 7.2308567e+08 5347.5854 0.15130472 0.0010145798 4.449163e-05 2.1068069e-07 1.3341732e-10 NaN 0.010348541 9.6267254e-05 1.1101826 0.0065298236 2.0833067e-08 2.5591015e-10 0.0017756833 9.7148557e-06
Tungsten_temperature_sweep-2024-05-17-06.40um-600C_spot1 2024_05_17_22:38:19 3.5253 7.2378233e+08 9325.792 0.11368606 0.0014148293 4.1291814e-05 3.8573178e-07 3.1876591e-11 NaN 0.0032524395 0.00013086334 0.79832879 0.039767645 1.7171283e-08 NaN 0.0012537201 1.6493325e-05
Tungsten_temperature_sweep-2024-05-17-06.40um-600C_spot2 2024_05_17_22:40:10 3.5253 7.2106343e+08 5919.5674 0.11601431 0.00093747958 4.3718463e-05 2.5739811e-07 3.1548524e-10 NaN 0.0073496335 9.3086632e-05 2.1250168 0.0089435637 2.1716088e-08 3.6792428e-10 0.0013199802 9.8338269e-06
Tungsten_temperature_sweep-2024-05-17-06.40um-600C_spot3 2024_05_17_22:41:17 3.5253 7.2288763e+08 6021.8737 0.11833359 0.017285447 4.2059884e-05 6.937415e-07 1.5447022e-08 4.5710666e-06 0.0050979226 7.8328359e-05 1.2741247 0.010735281 2.8723299e-08 5.956359e-10 0.0015366784 1.0057407e-05
Tungsten_temperature_sweep-2024-05-17-06.40um-600C_spot4 2024_05_17_22:44:18 3.5253 7.207782e+08 6662.0822 0.11799448 0.023620462 4.4117506e-05 9.745473e-07 3.3450622e-08 6.1431464e-06 0.0042029555 0.00010394528 1.1268221 0.017111146 2.6860137e-08 8.9154796e-10 0.0013504034 1.2679077e-05
Tungsten_temperature_sweep-2024-05-17-06.40um-600C_spot5 2024_05_17_22:45:33 3.5253 7.2381767e+08 7023.0988 0.12595055 0.00090811017 4.3104271e-05 2.208485e-07 7.0468689e-10 NaN 0.0069223594 8.6310179e-05 0.80209447 0.0087587202 2.1818328e-08 3.5957765e-10 0.001354496 8.9809114e-06
Tungsten_temperature_sweep-2024-05-17-06.40um-650C_spot1 2024_05_17_22:56:27 3.5253 7.1870922e+08 5885.6219 0.013270248 0.00021702401 3.2628782e-06 NaN 2.3380375e-14 NaN 0.005190183 0.00033655021 0.89873647 0.045549902 2.6087716e-08 2.2643248e-09 0.001517777 5.9888159e-05
Tungsten_temperature_sweep-2024-05-17-06.40um-650C_spot2 2024_05_17_22:55:04 3.5253 7.196438e+08 5519.3296 0.10811732 0.00028030018 4.0701458e-05 NaN 6.2420289e-13 NaN 0.0077133658 9.510719e-05 1.6738057 0.0086970285 2.1804072e-08 3.5858403e-10 0.0023525029 9.6534618e-06
Tungsten_temperature_sweep-2024-05-17-06.40um-650C_spot3 2024_05_17_22:53:40 3.5253 7.1892825e+08 11297.142 0.0091757885 0.00016440619 2.7065042e-06 NaN 5.4391846e-11 NaN 0.003283623 0.00026739943 1.7147772 0.057469472 2.4441583e-08 2.6798034e-09 0.0011506836 5.070971e-05
Tungsten_temperature_sweep-2024-05-17-06.40um-650C_spot4 2024_05_17_22:52:27 3.5253 7.2028021e+08 5561.3123 0.015687719 0.00026039334 4.3961543e-06 NaN 2.5463731e-14 NaN 0.0061636508 0.00038041742 1.3280843 0.043478695 2.6162854e-08 2.17655e-09 0.0016450025 6.0345014e-05
Tungsten_temperature_sweep-2024-05-17-06.40um-650C_spot5 2024_05_17_22:51:21 3.5253 7.2158326e+08 5620.0423 0.081552527 0.00027185737 3.6112063e-05 NaN 3.8706785e-14 NaN 0.0067946716 0.00010322775 1.7056364 0.010729546 2.2856192e-08 4.6513758e-10 0.0021949162 1.088728e-05
Tungsten_temperature_sweep-2024-05-17-06.40um-700C_spot1 2024_05_17_23:02:12 3.5253 7.1660353e+08 5515.5481 0.015848287 0.00020467443 6.0120147e-06 NaN 2.5163771e-14 NaN 0.0043843755 0.00025601759 2.3539533 0.041282005 2.8440704e-08 2.2659745e-09 0.0014089104 3.9111601e-05
Tungsten_temperature_sweep-2024-05-17-06.40um-700C_spot2 2024_05_17_23:03:26 3.5253 7.17761e+08 6543.8209 0.11708628 0.00087049175 4.2570604e-05 2.3127104e-07 1.1602643e-10 NaN 0.0072626691 8.8109288e-05 1.6492471 0.0085199721 2.1975067e-08 3.5499989e-10 0.00079043808 9.3226948e-06
Tungsten_temperature_sweep-2024-05-17-06.40um-700C_spot3 2024_05_17_23:05:01 3.5253 7.1603341e+08 6481.7259 0.11666518 0.02066665 4.3818579e-05 8.4568436e-07 2.4420106e-08 5.4710517e-06 0.0050806738 8.7424445e-05 1.4599503 0.012019485 2.729865e-08 6.3163917e-10 0.0015011249 1.0805115e-05
Tungsten_temperature_sweep-2024-05-17-06.40um-700C_spot4 2024_05_17_23:06:01 3.5253 7.1794837e+08 6197.1099 0.12143037 0.018283379 4.1817126e-05 6.9006404e-07 7.1211647e-08 4.7486346e-06 0.007025956 9.3585622e-05 0.71465713 0.0093197148 2.2014825e-08 3.8542002e-10 0.00079166423 9.9146036e-06
Tungsten_temperature_sweep-2024-05-17-06.40um-700C_spot5 2024_05_17_23:07:10 3.5253 7.1682723e+08 5722.611 0.10608361 0.01627912 4.1746061e-05 7.4171144e-07 4.0468887e-08 4.7905372e-06 0.0052603296 8.0495021e-05 1.8516651 0.010707664 2.7404096e-08 5.6597012e-10 0.0010864431 1.007376e-05
Tungsten_temperature_sweep-2024-05-17-06.40um-750C_spot1 2024_05_17_23:17:20 3.5253 7.1542085e+08 9971.9597 0.08258824 0.00025571865 3.595702e-05 NaN 4.438614e-14 NaN 0.0058271802 0.00010001156 1.1039968 0.012094895 2.1495593e-08 4.8790427e-10 0.0019333417 9.980351e-06
Tungsten_temperature_sweep-2024-05-17-06.40um-750C_spot2 2024_05_17_23:16:08 3.5253 7.1782973e+08 8521.2581 0.09921879 0.017992012 4.1834395e-05 8.616547e-07 9.3338751e-08 5.6704904e-06 0.0046138549 9.2208311e-05 1.2242549 0.013915285 2.4478468e-08 6.5184697e-10 0.0011845813 1.0605616e-05
Tungsten_temperature_sweep-2024-05-17-06.40um-750C_spot3 2024_05_17_23:14:18 3.5253 7.1424145e+08 5113.7668 0.085976656 0.00086304045 3.942763e-05 2.8897665e-07 3.7609409e-09 NaN 0.0055072317 8.2826017e-05 1.0128518 0.010500779 2.5573464e-08 5.1091714e-10 0.00065635004 9.5835451e-06
Tungsten_temperature_sweep-2024-05-17-06.40um-750C_spot4 2024_05_17_23:12:36 3.5253 7.1666401e+08 5124.0887 0.09164451 0.015871894 3.9853779e-05 8.3289735e-07 1.1514656e-07 5.4725179e-06 0.0051722176 8.2071154e-05 1.522114 0.01102646 3.0599114e-08 6.5838175e-10 0.00089519961 1.1046644e-05
Tungsten_temperature_sweep-2024-05-17-06.40um-750C_spot5 2024_05_17_23:11:11 3.5253 7.1425955e+08 5382.3419 0.096613634 0.019020724 4.0849208e-05 9.4837771e-07 2.0176275e-08 6.1917677e-06 0.0044997244 9.5324915e-05 1.4621138 0.014689289 2.9356834e-08 8.4034991e-10 0.001006165 1.2441948e-05
Tungsten_temperature_sweep-2024-05-17-06.40um-800C_spot1 2024_05_17_23:27:13 3.5253 7.1568966e+08 4082.2973 0.11861526 0.00078958081 3.7838922e-05 1.9158871e-07 9.4500982e-10 NaN 0.008281506 8.930077e-05 0.88696089 0.0075468341 2.3712644e-08 3.3995359e-10 0.00089757319 9.9441077e-06
Tungsten_temperature_sweep-2024-05-17-06.40um-800C_spot2 2024_05_17_23:32:01 3.5253 7.1162686e+08 8012.6917 0.11419767 0.016414873 4.0924774e-05 6.8005915e-07 2.0025332e-08 4.536384e-06 0.0051729865 8.4591009e-05 1.5111903 0.011410205 2.6240942e-08 5.7519544e-10 0.00088986309 1.0240069e-05
Tungsten_temperature_sweep-2024-05-17-06.40um-800C_spot3 2024_05_17_23:33:07 3.5253 7.0945025e+08 10613.811 0.1217647 0.0008840223 4.0673506e-05 2.1422428e-07 2.337384e-14 NaN 0.00711852 6.8670308e-05 0.85689072 0.0097320392 1.9678554e-08 NaN 0.00098949909 9.507341e-06
Tungsten_temperature_sweep-2024-05-17-06.40um-800C_spot4 2024_05_17_23:34:08 3.5253 7.1254467e+08 19436.585 0.15153266 0.0010020616 4.337783e-05 1.9687226e-07 2.6647898e-09 NaN 0.0082955335 8.4137769e-05 0.11724269 0.01029744 1.4498301e-08 NaN 0.00031159377 9.0047518e-06
Tungsten_temperature_sweep-2024-05-17-06.40um-800C_spot5 2024_05_17_23:35:13 3.5253 7.0961824e+08 9644.4959 0.15687138 0.020161544 4.2578836e-05 5.7083e-07 1.1147667e-07 4.054545e-06 0.0094803263 7.1047633e-05 0.24503553 0.0075705257 1.8976405e-08 NaN 0.00073029795 9.6068935e-06
